name	eff-length	est_frags
ENST00000323275.10	2250.0	1.4892417662803295e-08
ENST00000411962.5	1632.0	2.0767466999666385e-08
ENST00000462432.5	2663.0	3.950509444514673e-08
ENST00000478641.5	2879.0	1.1561690508249108e-08
ENST00000421495.6	1668.0	2.0301129621751405e-08
ENST00000458452.7	2371.0	1.4110552534994099e-08
ENST00000419704.5	1598.0	2.1227972455368748e-08
ENST00000532772.5	1418.0	2.4050669300183145e-08
ENST00000450926.6	1639.0	2.0675122411121173e-08
ENST00000527098.5	1804.0	1.871341603629937e-08
ENST00000485710.5	683.0	5.2473500116607495e-08
ENST00000525603.1	538.0	0.0
ENST00000490853.5	504.0	0.0
ENST00000463260.5	1741.0	1.7464437346317225e-21
ENST00000496007.5	4252.0	3.163649621555734e-16
ENST00000482365.5	2420.0	5.558610825546271e-16
ENST00000607307.1	1323.0	2.600005235090124e-08
ENST00000495558.1	619.0	0.0
ENST00000378785.6	3659.0	1.2333417905266388e-19
ENST00000472194.6	4114.0	7.347826035642528e-19
ENST00000359060.5	3976.0	1.9123877262651735e-17
ENST00000366221.3	1901.0	8.514285257998052e-11
ENST00000477990.1	2621.0	1.36512597051464e-22
ENST00000512004.1	398.0	0.0
ENST00000341832.10	2798.0	1.8513370936299494e-06
ENST00000407249.7	2477.0	1.9926521716342687e-06
ENST00000615951.4	2027.0	2.0736866910071416e-06
ENST00000340677.9	2334.0	2.0577479042248986e-06
ENST00000611150.3	2150.0	2.355256756722267e-06
ENST00000629289.2	2290.0	1.324257919978382e-06
ENST00000626918.2	2257.0	1.354781381687671e-06
ENST00000629312.2	2296.0	1.3188368001403502e-06
ENST00000341028.8	681.0	3.4844269670136043e-06
ENST00000614300.4	1956.0	2.3674665136594486e-29
ENST00000617444.4	6083.0	3.0249043081839973e-16
ENST00000611123.1	5748.0	3.201199183609044e-16
ENST00000481276.1	1999.0	2.9920110001203956e-13
ENST00000356200.7	2453.0	8.660732246546308e-07
ENST00000463652.5	828.0	6.823984234839517e-07
ENST00000356937.7	2075.0	8.607667301589267e-07
ENST00000378638.6	2229.0	8.574328015784706e-07
ENST00000509982.5	2106.0	7.347119771362799e-07
ENST00000404249.7	2249.0	9.243374531322365e-07
ENST00000460465.5	2133.0	8.626189263805887e-07
ENST00000357760.6	2246.0	8.827700767457665e-07
ENST00000358779.9	2219.0	9.432563667156206e-07
ENST00000378633.5	2258.0	8.339443067565619e-07
ENST00000478901.1	731.0	1.7209711601826572e-07
ENST00000468397.1	636.0	5.770165942606974e-07
ENST00000491311.1	426.0	2.1671492585645581e-10
ENST00000495016.5	86.0	6.333679470982094e-08
ENST00000468800.5	697.0	5.19392399271102e-08
ENST00000464748.1	181.0	2.5098873186475574e-07
ENST00000489300.1	377.0	1.0270127751799163e-07
ENST00000492390.5	776.0	7.659396488016543e-08
ENST00000474916.1	552.0	6.691568700780819e-08
ENST00000479362.1	500.0	2.7841678979035795e-07
ENST00000498810.1	374.0	1.041276064591532e-07
ENST00000487462.1	237.0	0.0
ENST00000598846.1	4879.0	3.760916594226654e-07
ENST00000577672.1	209.0	0.0
ENST00000417099.1	1608.0	3.0661929003515995e-16
ENST00000647043.1	1878.0	2.4658109441524663e-29
ENST00000355439.7	1956.0	2.367481059876448e-29
ENST00000643905.1	6093.0	3.284772593027606e-14
ENST00000475229.2	1059.0	6.952015900129838e-08
ENST00000480499.5	349.0	0.0
ENST00000464373.1	522.0	0.0
ENST00000439272.6	402.0	7.698892295020169e-08
ENST00000378592.1	1945.0	1.0269204694234951e-13
ENST00000640949.1	1484.0	0.0
ENST00000639625.1	463.0	0.0
ENST00000639070.1	1971.0	1.0338506524887599e-13
ENST00000468310.5	490.0	0.0
ENST00000461106.6	1716.0	0.0
ENST00000478770.6	1342.0	0.0
ENST00000606533.1	3996.0	1.6834843808706782e-08
ENST00000469733.5	2080.0	3.8821137926127846e-11
ENST00000497675.2	4278.0	1.599304558370042e-15
ENST00000401813.7	2343.0	0.0
ENST00000487186.5	3376.0	1.1185498105569828e-08
ENST00000514625.1	503.0	0.0
ENST00000607031.1	2938.0	8.853730279873413e-12
ENST00000378513.7	2800.0	1.1185305276124608e-06
ENST00000378518.5	322.0	1.8096898241127993e-06
ENST00000605895.5	2844.0	1.2643527465530863e-06
ENST00000306256.13	495.0	1.594001016056326e-06
ENST00000493207.1	486.0	1.8749809538632334e-07
ENST00000378512.5	1204.0	1.715859559998593e-06
ENST00000443438.5	340.0	2.6003782028743362e-06
ENST00000488353.2	2269.0	1.8769783062913098e-07
ENST00000462129.1	385.0	8.108286526735937e-07
ENST00000288774.7	2671.0	3.5800584470673557e-07
ENST00000447513.6	1797.0	8.365798436274704e-08
ENST00000507596.5	1741.0	8.671657051411785e-08
ENST00000487804.1	518.0	0.0
ENST00000477045.1	419.0	0.0
ENST00000457440.1	407.0	0.0
ENST00000463591.1	184.0	0.0
ENST00000471223.1	5889.0	8.403217377982737e-17
ENST00000624167.1	788.0	0.0
ENST00000423764.5	2675.0	0.0
ENST00000378251.2	4110.0	3.5892319323453796e-13
ENST00000378230.7	6224.0	1.8155489031340771e-12
ENST00000338895.7	2905.0	5.579167937039905e-11
ENST00000378209.7	2828.0	1.183541302972126e-08
ENST00000491998.5	2952.0	5.490329171441351e-11
ENST00000468793.5	2786.0	5.817504078448931e-11
ENST00000477548.5	2723.0	5.952116602675188e-11
ENST00000339350.7	2805.0	5.778093602202109e-11
ENST00000378206.5	2642.0	6.13462432606196e-11
ENST00000475969.5	2531.0	1.326206553280971e-08
ENST00000486765.5	2317.0	1.2875527387868595e-11
ENST00000361605.3	1466.0	2.0349985757648344e-11
ENST00000474140.1	3299.0	9.04284623000187e-12
ENST00000442673.1	2859.0	3.1702613749187336e-18
ENST00000642139.1	4617.0	7.144832323166918e-09
ENST00000637702.1	647.0	0.0
ENST00000466994.5	1654.0	4.6225882015312476e-21
ENST00000377939.4	3724.0	1.8109316992836807e-08
ENST00000496676.5	2820.0	1.1809471766188455e-08
ENST00000343813.9	4571.0	1.794368446108602e-11
ENST00000377855.6	1414.0	0.0
ENST00000377837.5	1022.0	2.2255534620217094e-13
ENST00000471190.1	149.0	0.0
ENST00000377834.8	4062.0	2.5333448247748902e-18
ENST00000513135.5	3283.0	9.284481672899353e-22
ENST00000377705.5	6449.0	2.519728806330566e-11
ENST00000462798.1	438.0	0.0
ENST00000377663.3	6245.0	4.868788698148633e-22
ENST00000610898.1	1745.0	1.7424404252113633e-21
ENST00000432429.5	1486.0	3.3301848701217055e-16
ENST00000641757.1	787.0	1.4175186337779053e-11
ENST00000476163.5	663.0	0.0
ENST00000433407.1	86.0	9.372223553888724e-31
ENST00000615230.4	5770.0	1.3993729068262724e-11
ENST00000497113.1	470.0	4.4141563478955204e-13
ENST00000641354.1	1901.0	6.038147073005654e-32
ENST00000642135.1	2036.0	1.187078776569125e-10
ENST00000399343.2	600.0	1.768181571024606e-15
ENST00000337907.7	7826.0	0.0
ENST00000480342.5	2510.0	0.0
ENST00000464920.2	2348.0	0.0
ENST00000497492.1	447.0	0.0
ENST00000414948.1	544.0	1.3591781469742228e-13
ENST00000425872.1	543.0	1.5684799615196596e-10
ENST00000583026.2	99.0	0.0
ENST00000377424.8	3965.0	2.914466388122278e-32
ENST00000377411.4	5065.0	6.505073822655967e-09
ENST00000635687.1	4011.0	7.622193579022598e-12
ENST00000632503.1	1564.0	0.0
ENST00000377403.6	8946.0	6.653397655761621e-11
ENST00000495451.1	2501.0	0.0
ENST00000641325.1	2242.0	1.835392050784481e-22
ENST00000641940.1	639.0	5.402274553645913e-21
ENST00000641507.1	282.0	1.642115071176554e-28
ENST00000302692.6	3654.0	1.0928081369635457e-13
ENST00000536656.5	5283.0	3.778970212810978e-14
ENST00000628140.2	5283.0	5.385652176919276e-35
ENST00000377346.8	5003.0	3.990465665718763e-14
ENST00000377263.5	2800.0	0.0
ENST00000403197.5	894.0	2.2331440317764222e-13
ENST00000377205.5	3581.0	1.4812958061825936e-07
ENST00000462686.1	1618.0	9.703253906567248e-08
ENST00000496751.1	285.0	1.4219337454292288e-07
ENST00000413148.1	236.0	3.987279803731783e-07
ENST00000315901.4	661.0	3.7114938486991205e-18
ENST00000253251.12	4572.0	0.0
ENST00000466379.1	2099.0	1.8974238952291974e-13
ENST00000377093.8	7365.0	2.5051891234184294e-17
ENST00000263934.10	6616.0	2.7516752274414477e-17
ENST00000377086.5	10469.0	3.13235104785322e-09
ENST00000377081.5	8546.0	3.842956711672362e-09
ENST00000620295.2	8424.0	3.899073794901555e-09
ENST00000622724.3	8388.0	3.915947408919371e-09
ENST00000641619.1	717.0	3.7684753276304085e-14
ENST00000641117.1	1192.0	5.037541654989899e-15
ENST00000483936.5	480.0	0.0
ENST00000309048.7	696.0	0.0
ENST00000462462.1	384.0	0.0
ENST00000377049.3	930.0	0.0
ENST00000377038.7	5832.0	2.058751686581228e-09
ENST00000424487.1	267.0	5.523452171625394e-12
ENST00000472814.1	251.0	0.0
ENST00000473118.5	501.0	5.212459284228752e-06
ENST00000240185.7	5167.0	1.4618102627397423e-06
ENST00000639083.1	2069.0	2.975566650638129e-06
ENST00000639599.1	1083.0	5.40445736981407e-06
ENST00000629725.2	831.0	5.288254609794975e-06
ENST00000439080.6	1188.0	1.8228695146573388e-06
ENST00000613864.4	384.0	2.9311651080570507e-06
ENST00000476201.5	729.0	2.881002957649992e-06
ENST00000472476.5	801.0	2.8295496736067325e-06
ENST00000621715.4	616.0	4.210134183442979e-06
ENST00000315091.7	1635.0	8.41664907530212e-06
ENST00000473869.5	1746.0	2.1227201285458642e-06
ENST00000638264.1	574.0	1.8611330662536717e-06
ENST00000621790.4	808.0	6.4004066198869055e-06
ENST00000616545.4	720.0	7.1576839106311035e-06
ENST00000622057.4	506.0	6.754669259162843e-06
ENST00000617172.4	780.0	6.599017532763799e-06
ENST00000618606.1	384.0	1.6983541120926285e-06
ENST00000611963.4	539.0	7.488871650918815e-06
ENST00000620632.4	506.0	3.2143482869911746e-06
ENST00000619555.4	482.0	2.699427342967998e-06
ENST00000610369.4	363.0	3.6237215727221435e-06
ENST00000614494.1	315.0	1.636434819037515e-06
ENST00000477447.6	209.0	9.257871405009151e-07
ENST00000620505.1	457.0	9.244571610652605e-07
ENST00000621573.1	792.0	4.6672427061297886e-07
ENST00000611008.4	729.0	2.8559380457776783e-07
ENST00000613177.1	179.0	5.184281786686984e-07
ENST00000496840.1	492.0	7.550049595487005e-08
ENST00000617757.1	234.0	9.755052306203093e-06
ENST00000480464.2	590.0	1.3698300393173448e-07
ENST00000614757.4	1593.0	2.097666260815787e-06
ENST00000611136.4	500.0	2.617995632889989e-06
ENST00000612542.1	354.0	4.080163585361184e-17
ENST00000622108.1	445.0	8.457996476212248e-08
ENST00000620028.1	563.0	6.526300332981882e-08
ENST00000478645.1	243.0	0.0
ENST00000480221.1	1990.0	1.0295036333452727e-23
ENST00000474216.5	1807.0	3.47986158947065e-16
ENST00000498576.1	286.0	2.117874026484183e-15
ENST00000460196.1	422.0	4.730881144014121e-13
ENST00000376810.5	3446.0	4.491378415094746e-08
ENST00000376804.2	625.0	5.784053182187111e-08
ENST00000486588.6	631.0	5.6821865028130154e-08
ENST00000483738.1	1193.0	2.1381799385738197e-08
ENST00000642131.1	1894.0	9.863694485077099e-27
ENST00000642025.1	2015.0	2.0421580718522861e-22
ENST00000376753.8	1320.0	1.3159070599013746e-10
ENST00000474239.1	603.0	0.0
ENST00000294485.5	7146.0	2.7904586247556116e-16
ENST00000433342.5	4345.0	7.59917537838078e-09
ENST00000484153.1	2366.0	7.188558126615455e-11
ENST00000312793.9	2424.0	1.3793338279719642e-08
ENST00000444493.5	1681.0	2.013782807544683e-08
ENST00000475041.1	487.0	1.667683258892249e-07
ENST00000376620.3	1668.0	2.0301129621751405e-08
ENST00000376592.6	8178.0	1.2643605983321489e-07
ENST00000376583.7	6844.0	1.4923948283949036e-07
ENST00000376585.6	7894.0	1.31849118902271e-07
ENST00000376590.8	6894.0	1.2699733768976695e-07
ENST00000641747.1	3027.0	1.4830460877623474e-07
ENST00000641805.1	2745.0	1.1454952606393041e-07
ENST00000641446.1	2620.0	1.205717522788248e-07
ENST00000641407.1	2187.0	1.2744755803173184e-07
ENST00000641759.1	2254.0	1.4416330216157723e-07
ENST00000641820.1	1369.0	1.4921323561340414e-07
ENST00000641721.1	691.0	1.1321432137337973e-07
ENST00000376486.3	675.0	1.1638374923353709e-07
ENST00000641909.1	2054.0	1.6360680812542627e-08
ENST00000641437.1	1711.0	1.9770808443547318e-08
ENST00000418034.1	834.0	4.22045676222436e-08
ENST00000423400.6	279.0	5.200652557744077e-08
ENST00000431243.6	916.0	3.819591539843068e-08
ENST00000642002.1	349.0	1.677515675411185e-30
ENST00000376497.7	614.0	5.9114345891317104e-08
ENST00000481933.1	2139.0	1.871949358213297e-13
ENST00000460823.1	755.0	0.0
ENST00000496974.3	75.0	0.0
ENST00000376259.6	3483.0	2.3182865100370122e-11
ENST00000492361.1	3383.0	2.386802952228479e-11
ENST00000453852.2	116.0	3.1668275947726375e-19
ENST00000614859.4	3349.0	5.011871595237391e-13
ENST00000616979.4	1392.0	0.0
ENST00000614839.4	1663.0	0.0
ENST00000506205.1	276.0	0.0
ENST00000510906.5	586.0	0.0
ENST00000487038.5	407.0	0.0
ENST00000491815.1	458.0	8.515841710708129e-16
ENST00000404665.3	2580.0	0.0
ENST00000358897.8	4890.0	2.5084843847469522e-19
ENST00000459961.1	4206.0	0.0
ENST00000477846.5	1073.0	2.651668261944505e-34
ENST00000472449.1	257.0	0.0
ENST00000428747.1	2905.0	1.1455777722545251e-08
ENST00000427824.1	4978.0	1.641065380774455e-11
ENST00000375943.6	2947.0	1.1288983946304002e-08
ENST00000497590.1	385.0	1.2846977141800838e-15
ENST00000616884.4	5682.0	5.868316292322508e-19
ENST00000375847.7	5869.0	5.681338076840203e-19
ENST00000475133.5	6099.0	5.467088567465747e-19
ENST00000495523.1	506.0	6.589678422143181e-18
ENST00000606186.1	146.0	0.0
ENST00000375826.3	2300.0	1.4559752514615547e-08
ENST00000428945.1	2645.0	2.3693982053183582e-30
ENST00000480945.5	10425.0	1.2383436724722842e-18
ENST00000294454.5	2786.0	2.8914826434808808e-11
ENST00000375771.5	3298.0	2.1043739731312976e-08
ENST00000375766.7	3495.0	1.9835655244121674e-08
ENST00000441801.6	1343.0	5.501779058366779e-08
ENST00000332305.5	1330.0	5.0932979144089675e-08
ENST00000317122.2	2273.0	8.774202220790881e-14
ENST00000444358.1	522.0	0.0
ENST00000329454.2	2839.0	4.320707517230504e-19
ENST00000491433.1	624.0	0.0
ENST00000478089.1	2720.0	7.377154688679425e-14
ENST00000466212.5	3419.0	1.319856386819992e-19
ENST00000496239.5	4419.0	1.5433221907090465e-17
ENST00000263511.8	5168.0	1.2959125140151645e-17
ENST00000591316.1	1363.0	2.506904830525124e-08
ENST00000415386.2	1348.0	2.255607226998392e-21
ENST00000430580.6	5732.0	3.679059635658016e-08
ENST00000432949.5	3976.0	2.613196851232196e-08
ENST00000392963.5	2472.0	4.3161568013161814e-08
ENST00000633763.1	617.0	0.0
ENST00000438002.1	2320.0	3.248616855279597e-24
ENST00000453554.1	1346.0	5.599399037331847e-24
ENST00000384278.1	11.0	0.0
ENST00000326735.12	3640.0	1.1909079244787594e-07
ENST00000341676.9	3481.0	9.930092607672645e-08
ENST00000452699.5	3781.0	1.1389779394868803e-07
ENST00000466561.1	1651.0	9.61059280840394e-08
ENST00000502418.1	1001.0	8.56287986887804e-08
ENST00000503552.1	574.0	6.3546557665097e-08
ENST00000463860.5	1439.0	4.9575336450017627e-08
ENST00000502860.1	487.0	7.636208909546142e-08
ENST00000617114.4	1523.0	1.3134272010728498e-07
ENST00000506174.5	373.0	2.401307470896317e-07
ENST00000510069.5	762.0	1.6341856666898257e-07
ENST00000511957.5	369.0	1.0485886681331731e-07
ENST00000508222.5	362.0	1.0721839954607477e-07
ENST00000509619.1	370.0	6.201987961196506e-07
ENST00000485092.5	436.0	0.0
ENST00000375453.5	641.0	1.913648774018204e-18
ENST00000596113.1	66.0	0.0
ENST00000538309.5	1740.0	0.0
ENST00000375218.3	3831.0	7.6757307598767e-22
ENST00000417040.1	5975.0	0.0
ENST00000477853.5	6464.0	1.1659639880931067e-24
ENST00000480380.1	3692.0	7.476948033925253e-13
ENST00000375199.7	5208.0	1.4471565320725502e-24
ENST00000461353.1	1975.0	0.0
ENST00000330263.4	2115.0	1.0937003565456335e-13
ENST00000420396.3	1040.0	0.0
ENST00000375155.7	1605.0	1.8470722606660697e-21
ENST00000469076.5	1312.0	5.744505414823679e-24
ENST00000617872.4	3478.0	1.9258488734950357e-17
ENST00000322753.6	3512.0	1.9072045506870806e-17
ENST00000602384.5	799.0	0.0
ENST00000289753.1	1784.0	0.0
ENST00000375120.3	6197.0	5.316316619832931e-09
ENST00000489871.5	892.0	0.0
ENST00000375105.7	2472.0	2.4065492145034916e-10
ENST00000429261.2	3049.0	9.972314011130942e-22
ENST00000473325.5	3525.0	2.3230663478845598e-11
ENST00000443195.1	563.0	5.696146482057978e-21
ENST00000451424.1	4243.0	4.017741506991334e-20
ENST00000415136.6	1926.0	1.578690855815836e-21
ENST00000602624.6	1763.0	1.7246503620535633e-21
ENST00000375048.7	1879.0	3.2180665940060565e-21
ENST00000312239.9	3738.0	1.318636266719579e-18
ENST00000375003.6	4622.0	1.0664349556458451e-18
ENST00000438032.5	959.0	0.0
ENST00000516105.1	4.0	0.0
ENST00000415912.6	4899.0	4.075228698925627e-14
ENST00000357071.8	3563.0	1.4385826224111594e-16
ENST00000453025.1	461.0	1.0119762485214832e-28
ENST00000454000.6	1933.0	7.693021390730481e-16
ENST00000318220.10	4201.0	3.54271313321312e-16
ENST00000342104.9	3504.0	2.8351264494732333e-16
ENST00000486229.5	733.0	3.084634831206821e-23
ENST00000318249.9	3391.0	4.388952484621622e-16
ENST00000434838.6	2527.0	5.884689579964555e-16
ENST00000619554.1	1631.0	9.117480307660518e-16
ENST00000469876.5	781.0	6.336305659128766e-16
ENST00000477050.1	350.0	1.4139013502316006e-15
ENST00000374830.2	533.0	0.0
ENST00000464577.1	1889.0	1.7841189254304812e-08
ENST00000486901.1	3386.0	1.4615048105777617e-16
ENST00000374673.3	338.0	0.0
ENST00000634934.2	1318.0	0.0
ENST00000635450.2	747.0	0.0
ENST00000452322.2	1191.0	0.0
ENST00000400259.5	2074.0	2.9085107094973813e-05
ENST00000344548.7	2056.0	3.69766318353089e-05
ENST00000315554.12	1252.0	8.703747288805283e-06
ENST00000498236.1	616.0	9.621229062226553e-06
ENST00000411827.1	397.0	2.150699526109253e-05
ENST00000166244.7	4743.0	0.0
ENST00000314933.6	844.0	0.0
ENST00000481879.1	325.0	0.0
ENST00000641772.1	404.0	2.0024398811074842e-10
ENST00000427764.3	1588.0	0.0
ENST00000518600.1	176.0	0.0
ENST00000361729.2	4991.0	7.326364926164972e-16
ENST00000495365.5	642.0	0.0
ENST00000374497.7	1288.0	0.0
ENST00000374490.7	1400.0	1.6765853901026317e-06
ENST00000436439.6	1154.0	1.6519165860332088e-06
ENST00000374487.6	1951.0	9.479231189661026e-07
ENST00000235958.4	901.0	1.4399407604797669e-06
ENST00000509389.5	1179.0	3.0581307697885234e-07
ENST00000496907.1	658.0	2.431603876875585e-07
ENST00000513148.1	1811.0	1.9991853967800056e-07
ENST00000479458.1	394.0	2.0444630783701795e-07
ENST00000374472.4	5054.0	1.8740637961304765e-13
ENST00000341154.10	2639.0	0.0
ENST00000343255.9	2717.0	2.99224360856706e-11
ENST00000492112.2	1431.0	5.602793875825399e-11
ENST00000485841.5	3757.0	2.046109187169491e-11
ENST00000439239.2	254.0	0.0
ENST00000338909.9	2493.0	3.635699060576808e-18
ENST00000374434.3	5604.0	1.6173813873607285e-18
ENST00000327535.5	4349.0	1.555897832877454e-08
ENST00000374421.7	1276.0	0.0
ENST00000356046.6	2604.0	0.0
ENST00000468303.5	5816.0	4.645799383881414e-15
ENST00000339255.2	1476.0	0.0
ENST00000374395.8	6602.0	2.7940778334130763e-16
ENST00000374393.4	182.0	0.0
ENST00000374392.2	3753.0	1.3185864108642985e-16
ENST00000486262.1	3863.0	1.2810392958668206e-16
ENST00000468822.5	568.0	0.0
ENST00000488317.1	133.0	0.0
ENST00000455902.2	788.0	1.3317384010355036e-18
ENST00000236273.8	1145.0	0.0
ENST00000476231.1	1762.0	4.9290918240903613e-17
ENST00000641729.1	1990.0	2.1019691308006305e-11
ENST00000450820.2	770.0	2.593637215896718e-13
ENST00000566599.1	745.0	3.989853426932076e-30
ENST00000328664.8	2730.0	4.575515464399025e-19
ENST00000622561.4	2807.0	4.450002571360527e-19
ENST00000374358.4	2483.0	1.0978737300394817e-07
ENST00000498135.5	576.0	2.3735724439049948e-07
ENST00000491936.5	765.0	3.1038452536944094e-07
ENST00000480937.5	902.0	4.6898000960389234e-07
ENST00000468704.1	599.0	6.061650460340452e-08
ENST00000488127.1	4470.0	6.365190257419334e-35
ENST00000374329.1	2261.0	3.580242508709504e-11
ENST00000354177.8	4027.0	8.231298631364932e-09
ENST00000361547.6	4134.0	8.014678964706779e-09
ENST00000374315.1	4012.0	8.262604987549712e-09
ENST00000630065.2	2794.0	1.195385285968646e-08
ENST00000529116.5	355.0	0.0
ENST00000466284.1	3062.0	6.552383152751348e-14
ENST00000374296.3	3097.0	1.072988858907049e-08
ENST00000513116.1	1583.0	4.320336315887907e-17
ENST00000465604.1	2747.0	1.2131139079474581e-08
ENST00000580971.1	5.0	0.0
ENST00000374282.7	3381.0	7.991346570753987e-15
ENST00000374284.5	2323.0	1.308893044336559e-21
ENST00000374278.7	2897.0	1.14881522083337e-08
ENST00000374271.8	4079.0	0.0
ENST00000374268.4	2658.0	3.96552561381452e-08
ENST00000528001.1	353.0	0.0
ENST00000451482.1	878.0	1.4005660265731593e-18
ENST00000622820.1	699.0	5.233591761875339e-15
ENST00000326279.10	3808.0	8.75624300415297e-19
ENST00000525546.5	381.0	0.0
ENST00000468388.5	120.0	2.1775711591617712e-06
ENST00000479815.5	830.0	9.641548777590813e-06
ENST00000460563.5	845.0	4.6924956977846366e-05
ENST00000464888.5	365.0	2.335347705416501e-05
ENST00000463817.5	653.0	0.00017741493319094577
ENST00000619352.4	948.0	0.00033466084010972617
ENST00000467700.5	732.0	0.00017490992112700987
ENST00000361427.5	991.0	0.00034494500610855977
ENST00000466194.1	752.0	0.0001485427446196002
ENST00000493418.1	1296.0	3.839972397685992e-06
ENST00000526792.5	2396.0	0.0
ENST00000530607.1	380.0	0.0
ENST00000430799.7	6321.0	1.8369542510397617e-06
ENST00000637465.1	499.0	7.831499439330324e-07
ENST00000324856.12	8383.0	1.3084784446719593e-06
ENST00000457599.6	6068.0	1.4274818817356302e-06
ENST00000524572.1	346.0	3.157734900349015e-07
ENST00000374152.7	6260.0	1.5816463339697808e-06
ENST00000615191.4	3604.0	1.061357110735363e-06
ENST00000636219.1	6858.0	1.8209620686432888e-06
ENST00000636958.1	1188.0	1.1106975356070862e-06
ENST00000636422.1	1124.0	3.6613186401555182e-22
ENST00000430291.2	380.0	5.964048870307722e-07
ENST00000636110.1	3250.0	1.8540261969685714e-12
ENST00000636072.1	928.0	8.545897709312073e-07
ENST00000466382.2	2499.0	2.297982146278797e-06
ENST00000636794.1	868.0	5.882997210777231e-07
ENST00000532781.1	2383.0	2.6953944474234436e-06
ENST00000637788.1	2846.0	1.4081221159753072e-06
ENST00000374135.8	4478.0	8.593576930544953e-14
ENST00000445019.5	346.0	0.0
ENST00000321265.9	1600.0	7.06992020082151e-17
ENST00000374086.3	1983.0	1.0601935606616239e-33
ENST00000516289.1	5.0	0.0
ENST00000475199.1	2035.0	1.9017310802258869e-10
ENST00000495230.1	314.0	0.0
ENST00000247087.10	6135.0	0.0
ENST00000629895.1	410.0	0.0
ENST00000373954.10	3367.0	1.4697519199788804e-16
ENST00000234549.11	792.0	3.838888559337981e-21
ENST00000373949.5	2073.0	2.387194749421474e-16
ENST00000373871.7	5885.0	2.948289215834922e-07
ENST00000540618.5	5685.0	2.903020197337298e-07
ENST00000436342.6	5743.0	2.7597135964556606e-07
ENST00000373864.5	2259.0	1.2641282281845485e-07
ENST00000373863.3	1529.0	1.634538142692934e-07
ENST00000495923.5	633.0	2.1143891275328913e-07
ENST00000471498.5	1606.0	1.3165418607496727e-07
ENST00000468665.1	497.0	7.463524849157889e-08
ENST00000436160.1	481.0	0.00012004229698411685
ENST00000373857.7	4291.0	1.0271208492579707e-09
ENST00000539896.1	3991.0	1.1072564389576567e-09
ENST00000263697.5	1559.0	2.001401266647871e-31
ENST00000489277.5	1400.0	2.2287032693631113e-31
ENST00000470967.1	360.0	0.0
ENST00000482674.5	521.0	7.07897691279438e-08
ENST00000488868.1	586.0	6.210590335403724e-08
ENST00000604716.1	1745.0	8.659571433142752e-24
ENST00000373842.8	1633.0	3.3232575181235846e-13
ENST00000373839.7	5990.0	1.3637383971079554e-11
ENST00000632421.1	3175.0	2.572847813805334e-11
ENST00000463428.5	1221.0	7.7618483457622e-15
ENST00000478232.1	309.0	0.0
ENST00000413987.1	2001.0	6.130179231095549e-19
ENST00000437681.1	2414.0	1.524399595655692e-18
ENST00000624273.1	1883.0	3.6890413370578907e-26
ENST00000411406.3	250.0	1.1188992901343577e-10
ENST00000495422.1	424.0	0.0
ENST00000373826.3	1750.0	4.668147933271782e-11
ENST00000427804.1	488.0	0.0
ENST00000373816.5	6210.0	1.4858681219237357e-11
ENST00000468863.1	487.0	0.0
ENST00000234961.6	9145.0	7.324429570577875e-18
ENST00000642260.1	5768.0	4.4185432554850177e-07
